dataset,seed,learning_rate,group,time,peer,round,accuracy,loss
newsgroups,42,0.0005,DL,825.000000,0,165,0.686272,1.147168
newsgroups,42,0.0005,DL,850.000000,0,170,0.686537,1.154564
newsgroups,42,0.0005,DL,875.000000,0,175,0.686537,1.157541
newsgroups,42,0.0005,DL,900.000000,0,180,0.687201,1.167473
newsgroups,42,0.0005,DL,925.000000,0,185,0.686405,1.160587
newsgroups,42,0.0005,DL,950.000000,0,190,0.686006,1.163511
newsgroups,42,0.0005,DL,975.000000,0,195,0.688794,1.160194
newsgroups,42,0.0005,DL,1000.000000,0,200,0.687732,1.162619
newsgroups,42,0.0005,DL,1025.000000,0,205,0.688662,1.166650
newsgroups,42,0.0005,DL,1050.000000,0,210,0.689193,1.171676
newsgroups,42,0.0005,FedAvg,3.318000,6,5,0.210170,2.830667
newsgroups,42,0.0005,FedAvg,6.886000,52,10,0.538370,1.745706
newsgroups,42,0.0005,FedAvg,9.906000,21,15,0.577403,1.412177
newsgroups,42,0.0005,FedAvg,13.260000,37,20,0.600106,1.305071
newsgroups,42,0.0005,FedAvg,16.493000,17,25,0.611657,1.262216
newsgroups,42,0.0005,FedAvg,20.104000,46,30,0.622809,1.227953
newsgroups,42,0.0005,FedAvg,23.422000,19,35,0.630510,1.209745
newsgroups,42,0.0005,FedAvg,26.680000,19,40,0.640467,1.191417
newsgroups,42,0.0005,FedAvg,30.186000,12,45,0.648964,1.176967
newsgroups,42,0.0005,FedAvg,33.780000,21,50,0.652151,1.168234
newsgroups,42,0.0005,FedAvg,37.456000,27,55,0.659851,1.152509
newsgroups,42,0.0005,FedAvg,40.726000,46,60,0.658922,1.147636
newsgroups,42,0.0005,FedAvg,43.991000,17,65,0.663834,1.140494
newsgroups,42,0.0005,FedAvg,47.604000,20,70,0.664365,1.135248
newsgroups,42,0.0005,FedAvg,51.268000,35,75,0.670207,1.122086
newsgroups,42,0.0005,FedAvg,54.472000,47,80,0.672995,1.118601
newsgroups,42,0.0005,FedAvg,58.442000,7,85,0.676182,1.116017
newsgroups,42,0.0005,FedAvg,61.812000,3,90,0.676182,1.108843
newsgroups,42,0.0005,FedAvg,64.952000,63,95,0.679235,1.104327
newsgroups,42,0.0005,FedAvg,68.191000,22,100,0.678173,1.102571
newsgroups,42,0.0005,FedAvg,71.175000,48,105,0.678439,1.106336
newsgroups,42,0.0005,FedAvg,74.510000,23,110,0.682289,1.095978
newsgroups,42,0.0005,FedAvg,78.334000,15,115,0.680696,1.098571
newsgroups,42,0.0005,FedAvg,81.606000,11,120,0.684280,1.094660
newsgroups,42,0.0005,FedAvg,85.071000,30,125,0.685343,1.090586
newsgroups,42,0.0005,FedAvg,88.560000,5,130,0.684944,1.096606
newsgroups,42,0.0005,FedAvg,92.090000,19,135,0.687069,1.094465
newsgroups,42,0.0005,FedAvg,95.468000,7,140,0.687865,1.095017
newsgroups,42,0.0005,FedAvg,98.800000,36,145,0.685874,1.086905
newsgroups,42,0.0005,FedAvg,102.212000,51,150,0.686405,1.099000
newsgroups,42,0.0005,FedAvg,105.688000,35,155,0.689591,1.085168
newsgroups,42,0.0005,FedAvg,108.766000,29,160,0.685741,1.086471
newsgroups,42,0.0005,FedAvg,111.816000,26,165,0.686936,1.090419
newsgroups,42,0.0005,FedAvg,115.212000,37,170,0.688927,1.087621
newsgroups,42,0.0005,FedAvg,118.472000,5,175,0.684811,1.099378
newsgroups,42,0.0005,FedAvg,121.572000,50,180,0.687998,1.089687
newsgroups,42,0.0005,FedAvg,125.086000,53,185,0.689326,1.089510
newsgroups,42,0.0005,FedAvg,128.182000,44,190,0.688529,1.098099
newsgroups,42,0.0005,FedAvg,131.182000,53,195,0.689060,1.090182
newsgroups,42,0.0005,FedAvg,134.586000,51,200,0.688927,1.090195
